year,month,date,transect,observer,ground,typ1,typ2,typ3,typ4,typ5,typ6,typ7,typ8,str,dit,region
2021,4,26,26,262,0,2,0,2,0,8,2,3,0,5,11,1
2021,4,29,27,262,0,2,0,1,1,7,0,7,0,3,7,1
2021,4,30,28,262,0,2,3,4,0,7,0,11,0,11,0,1
2021,4,30,49,262,0,7,1,2,3,11,3,25,0,7,9,3
2021,4,27,62,262,0,1,3,1,2,3,0,0,0,23,0,4
2021,4,27,67,262,0,0,0,0,1,2,0,0,0,21,0,4
2021,4,27,67,262,1,0,0,0,0,0,0,0,0,1,0,4
2021,5,6,36,305,1,0,16,2,0,9,3,6,0,3,7,2
2021,5,5,39,305,0,0,7,1,1,3,5,4,5,9,0,2
2021,5,7,53,305,0,4,4,9,0,17,5,8,17,20,8,3
2021,5,7,55,305,0,10,3,1,0,3,4,0,0,22,1,3
2021,5,4,17,262,0,11,9,1,3,16,3,14,0,12,7,1
2021,5,4,17,262,1,5,3,0,0,6,0,2,0,10,0,1
2021,5,4,23,262,0,40,5,2,0,14,1,16,0,10,11,1
2021,5,4,23,262,1,22,2,1,0,7,1,5,0,9,4,1
2021,5,4,29,262,0,19,3,4,3,12,1,10,0,4,7,1
2021,5,4,29,262,1,3,1,1,1,2,0,4,0,2,3,1
2021,5,6,30,262,0,0,0,4,6,8,1,0,3,5,0,2
2021,5,5,31,262,0,0,5,2,6,11,2,22,4,9,0,2
2021,5,6,32,262,0,0,1,3,4,11,0,11,8,6,0,2
2021,5,6,32,262,1,0,1,1,3,9,0,6,2,2,0,2
2021,5,7,33,262,0,0,2,2,5,10,1,57,19,20,0,2
2021,5,5,34,262,0,1,1,1,3,14,1,17,6,6,1,2
2021,5,6,35,262,0,0,0,1,2,2,0,14,0,6,0,2
2021,5,6,35,262,1,0,5,11,11,8,0,1,1,4,2,2
2021,5,6,36,262,0,0,2,1,2,3,0,2,2,2,0,2
2021,5,7,37,262,0,0,0,2,4,12,2,12,16,18,0,2
2021,5,6,38,262,0,0,0,2,0,4,0,0,0,13,0,2
2021,5,5,39,262,0,0,0,0,0,1,0,0,1,3,0,2
2021,5,5,39,262,1,3,0,0,1,2,1,1,0,4,0,2
2021,5,6,40,262,0,1,0,4,3,3,0,1,0,10,5,2
2021,5,6,40,262,1,0,1,1,1,4,0,2,0,4,0,2
2021,5,5,41,262,0,3,0,2,1,11,1,5,7,6,0,2
2021,5,6,42,262,0,1,0,2,6,10,0,5,4,9,0,2
2021,5,6,42,262,1,1,0,10,3,12,0,7,1,6,1,2
2021,5,5,43,262,0,0,0,5,2,2,1,3,6,9,3,3
2021,5,5,44,262,0,0,0,0,1,3,0,7,3,18,0,3
2021,5,4,45,262,0,8,0,2,2,5,1,8,0,13,6,3
2021,5,4,45,262,1,13,0,0,2,8,0,0,0,8,2,3
2021,5,4,46,262,0,13,5,2,0,10,2,3,0,21,8,3
2021,5,4,46,262,1,0,0,0,0,6,0,0,0,4,0,3
2021,5,7,47,262,0,1,5,7,3,3,13,7,3,22,2,3
2021,5,7,48,262,0,0,0,14,6,8,1,50,4,27,0,3
2021,5,4,50,262,0,1,0,1,1,3,4,14,0,4,4,3
2021,5,4,50,262,1,19,4,0,1,0,0,6,0,3,6,3
2021,5,5,51,262,0,0,2,3,0,14,0,7,4,4,1,3
2021,5,5,52,262,0,7,1,0,0,10,0,3,0,10,10,3
2021,5,5,52,262,1,1,0,5,0,11,0,4,0,16,2,3
2021,5,5,54,262,0,0,1,2,3,11,0,32,0,14,2,3
2021,5,5,54,262,1,0,2,2,2,3,0,8,2,2,0,3
2021,5,6,61,262,0,0,2,0,0,0,0,0,0,4,7,4
2021,5,6,61,262,1,1,2,1,1,3,0,1,0,5,2,4
2021,5,4,64,262,0,2,1,2,0,8,1,3,0,26,3,4
2021,5,6,70,262,0,1,1,2,3,7,0,0,0,16,2,4
